"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.556025138E2,6.491114668E1,2.553286869E1,1.151871361E1,1.500000000E0,2.128000031E2,3.790092468E0,2.500000000E0
1.566020023E2,6.491113363E1,2.553284890E1,1.184743991E1,1.500000000E0,2.116999969E2,3.790092468E0,2.500000000E0
1.576023118E2,6.491112172E1,2.553283092E1,1.223964354E1,1.480000019E0,2.118000031E2,3.790092468E0,2.500000000E0
1.586026364E2,6.491110988E1,2.553281203E1,1.225056077E1,1.519999981E0,2.113999939E2,3.790092468E0,2.500000000E0
1.596023986E2,6.491109887E1,2.553279485E1,1.195294578E1,1.480000019E0,2.111000061E2,3.790092468E0,2.500000000E0
1.606020816E2,6.491108829E1,2.553277794E1,1.240649082E1,1.440000057E0,2.113000031E2,3.790092468E0,2.500000000E0
1.616023801E2,6.491107787E1,2.553276181E1,1.289763354E1,1.460000038E0,2.103000031E2,3.790092468E0,2.500000000E0
1.626027164E2,6.491106822E1,2.553274588E1,1.258775156E1,1.419999957E0,2.120000000E2,3.790092468E0,2.500000000E0
1.636025676E2,6.491105723E1,2.553273074E1,1.298917192E1,1.460000038E0,2.098000031E2,3.790092468E0,2.500000000E0
1.646024298E2,6.491104443E1,2.553271891E1,1.322732104E1,1.509999990E0,2.046000061E2,3.790092468E0,2.500000000E0
1.656018102E2,6.491103220E1,2.553270609E1,1.338490445E1,1.500000000E0,2.108000031E2,3.790092468E0,2.500000000E0
1.666018870E2,6.491102128E1,2.553269078E1,1.341584150E1,1.500000000E0,2.120000000E2,3.790092468E0,2.500000000E0
1.676026124E2,6.491101048E1,2.553267601E1,1.372625856E1,1.480000019E0,2.125000000E2,3.790092468E0,2.500000000E0
1.686024316E2,6.491099976E1,2.553265950E1,1.346123652E1,1.509999990E0,2.140000000E2,3.790092468E0,2.500000000E0
1.696020069E2,6.491098927E1,2.553264311E1,1.392491340E1,1.480000019E0,2.151999969E2,3.790092468E0,2.500000000E0
1.706020795E2,6.491097910E1,2.553262560E1,1.363968938E1,1.490000010E0,2.161999969E2,3.790092468E0,2.500000000E0
1.716020261E2,6.491096881E1,2.553260882E1,1.337167705E1,1.490000010E0,2.146999969E2,3.790092468E0,2.500000000E0
1.726025675E2,6.491095880E1,2.553259173E1,1.317318407E1,1.509999990E0,2.148999939E2,3.790092468E0,2.500000000E0
1.736021630E2,6.491094949E1,2.553257276E1,1.310378139E1,1.480000019E0,2.193999939E2,3.790092468E0,2.500000000E0
1.746018946E2,6.491093962E1,2.553255422E1,1.294087227E1,1.480000019E0,2.151000061E2,3.790092468E0,2.500000000E0
1.756018171E2,6.491092921E1,2.553253522E1,1.241718390E1,1.490000010E0,2.155000000E2,3.790092468E0,2.500000000E0
1.766025515E2,6.491091940E1,2.553251417E1,1.232458772E1,1.470000029E0,2.186999969E2,3.790092468E0,2.500000000E0
1.776024251E2,6.491091029E1,2.553249378E1,1.231780752E1,1.480000019E0,2.186000061E2,3.790092468E0,2.500000000E0
